,rank,artist_names,artist_individual,artist_id,artist_genre,track_name,release_date,album_num_tracks,album_cover,peak_rank,previous_rank,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,release_year
3963,200,YSY A,YSY A,spotify:artist:2qWK8K2Jfh67UqtwY8tCW6,argentine hip hop,Casi un G,2018-08-09,1,https://i.scdn.co/image/ab67616d0000b273a374de70daf238d31856afdc,88,-1,0.808,0.717,9,1,-5.182,0.0616,0.0392,0.0,0.363,0.395,140.018,139128.0,2018
40662,200,"The Kid LAROI, Machine Gun Kelly",The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,australian hip hop,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",2020-11-06,22,https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02,58,103,0.721,0.632,5,0,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057,144860.0,2020
33616,200,Vundabar,Vundabar,spotify:artist:1W4itxt3vwhmrgLEBuVHJ6,boston indie,Alien Blues,2015-07-24,10,https://i.scdn.co/image/ab67616d0000b273b7c802fd9a1ebf8b1ddb3746,155,155,0.464,0.682,10,1,-8.541,0.033,0.0768,0.832,0.0856,0.455,80.062,156057.0,2015
4652,200,WOS,WOS,spotify:artist:5YCc6xS5Gpj3EkaYGdjyNK,trap argentino,CONTANDO OVEJAS,2021-11-18,13,https://i.scdn.co/image/ab67616d0000b273cdb97c1de867f1b7ae0dc443,103,103,0.459,0.85,1,0,-3.982,0.113,0.0693,0.0,0.373,0.784,92.543,203469.0,2021
9380,200,"The La Planta, EL NOBA, Locura Mix",The La Planta,spotify:artist:4oZolC0sCwCAKqsNXfRlVS,cumbia pop,Salimo en Caravana,2022-01-21,1,https://i.scdn.co/image/ab67616d0000b2735367e01eba9b5435210a5972,126,136,0.778,0.592,7,1,-7.464,0.123,0.0786,6.71e-05,0.253,0.555,89.954,181354.0,2022
5008,200,Seafret,Seafret,spotify:artist:4Ly0KABsxlx4fNj63zJTrF,modern rock,Atlantis,2016-01-29,16,https://i.scdn.co/image/ab67616d0000b2738c33272a7c77042f5eb39d75,195,195,0.4,0.479,8,0,-7.989,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,229173.0,2016
29612,200,Lauv,Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,dance pop,I Like Me Better,2018-05-31,17,https://i.scdn.co/image/ab67616d0000b2735355919e31efac9b14c45c49,9,197,0.752,0.505,9,1,-7.621,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437.0,2018
11730,200,"No Te Va Gustar, Julieta Venegas",No Te Va Gustar,spotify:artist:4ZDoy7AWNgQVmX7T0u0B1j,latin alternative,Chau,2019-04-12,15,https://i.scdn.co/image/ab67616d0000b2739fa57de3cadf29c9bddb8d2c,157,-1,0.807,0.377,4,0,-10.179,0.052,0.151,0.00165,0.673,0.917,95.985,319393.0,2019
3786,200,Fer Palacio,Fer Palacio,spotify:artist:4frBEXn8nhWzOVwfCSpuYB,cumbia pop,Previa y Cachengue 33 - Remix,2020-08-29,1,https://i.scdn.co/image/ab67616d0000b27354ab6c386ba6293309b3cfeb,72,-1,0.821,0.641,9,1,-8.125,0.108,0.141,2.49e-06,0.104,0.785,99.995,643400.0,2020
620,200,FMK,FMK,spotify:artist:0dUyjgCyjfj5eMx6bX2TWf,trap latino,Princesa,2021-08-05,1,https://i.scdn.co/image/ab67616d0000b2739dcdb2dddfec42bbf2bc13fb,139,168,0.826,0.547,0,1,-5.27,0.0388,0.157,0.0,0.138,0.829,99.969,176400.0,2021
